Vivado Simulator 2020.2
Time resolution is 1 ps
XilinxAXIVIP: Found at Path: tb_top.DUT.design_1_i.axi_vip_0.inst
Test initialized... Waiting for system reset...
System reset completed... Starting test...
Circular vectoring test
---------------------------------------------
Number of tests             : 10000
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration : Cycle Count
7417 :  -0.106106,  -0.637631,   0.000000 |   1.064464,   0.000000,  -99.447798 | 2.015051e+00, 4.072821e-01, 5.049093e+00 : 100,  2 :  57
7418 :  -0.547666,  -0.723220,   0.000000 |   1.493916,   0.000000, -127.135195 | 2.135254e+00, 5.401116e-01, 1.870025e+01 : 100,  1 :  56
7419 :  -0.084788,  -0.235380,   0.000000 |   0.411996,   0.000000, -109.809897 | 3.277352e-09, 4.656613e-10, 2.378805e-07 : 000, -1 :  84
7420 :   0.515561,  -0.743634,   0.000000 |   1.490108,   0.000000,  -55.266454 | 2.116877e+00, 5.984756e-01, 1.629860e+01 : 100,  1 :  56
7421 :  -0.042655,  -0.179395,   0.000000 |   0.303657,   0.000000, -103.375037 | 1.238921e-09, 4.656613e-10, 2.071811e-07 : 000, -1 :  84
7422 :  -0.655318,  -0.130792,   0.000000 |   1.100434,   0.000000, -168.712931 | 2.019195e+00, 3.693784e-01, 6.888363e+00 : 100,  2 :  57
7423 :   0.336753,  -0.818908,   0.000000 |   1.458116,   0.000000,  -67.646458 | 2.061377e+00, 9.043245e-01, 3.918593e+00 : 100,  1 :  56
7424 :   0.821099,   0.440585,   0.000000 |   1.534510,   0.000000,   28.217098 | 2.082570e+00, 7.496721e-01, 9.782149e+00 : 100,  1 :  56
7425 :   0.732043,  -0.546738,   0.000000 |   1.504610,   0.000000,  -36.754807 | 2.133177e+00, 5.459144e-01, 1.831986e+01 : 100,  1 :  56
7426 :  -0.665713,  -0.159250,   0.000000 |   1.127201,   0.000000, -166.546656 | 2.025511e+00, 3.244323e-01, 9.054639e+00 : 100,  2 :  57
7427 :   0.719487,   0.201564,   0.000000 |   1.230439,   0.000000,   15.650200 | 2.036077e+00, 2.623944e-01, 1.125149e+01 : 100,  2 :  57
7428 :  -0.199274,   0.332467,   0.000000 |   0.638306,   0.000000,  120.937653 | 4.673747e-09, 9.313226e-10, 2.208125e-09 : 001, -1 :  84
7429 :  -0.888720,  -0.990885,   0.000000 |   2.191908,   0.000000, -131.888784 | 2.261222e+00, 1.623626e-01, 2.345384e+01 : 100,  1 :  56
7430 :   0.594926,   0.900964,   0.000000 |   1.777947,   0.000000,   56.562387 | 2.129038e+00, 5.580939e-01, 1.500266e+01 : 100,  1 :  56
7431 :   0.690286,  -0.681597,   0.000000 |   1.597501,   0.000000,  -44.637147 | 2.221274e+00, 3.227467e-01, 2.620220e+01 : 100,  1 :  56
7432 :   0.736315,   0.535066,   0.000000 |   1.498874,   0.000000,   36.005170 | 2.126868e+00, 5.655589e-01, 1.757022e+01 : 100,  1 :  56
7433 :   0.435004,  -0.729978,   0.000000 |   1.399355,   0.000000,  -59.208690 | 2.086886e+00, 7.124829e-01, 1.235636e+01 : 100,  1 :  56
7434 :  -0.824256,  -0.571764,   0.000000 |   1.651950,   0.000000, -145.252021 | 2.129683e+00, 5.544823e-01, 1.631303e+01 : 100,  1 :  56
7435 :   0.828538,   0.258228,   0.000000 |   1.429134,   0.000000,   17.310536 | 2.057214e+00, 9.730730e-01, 1.124413e+00 : 110,  1 :  56
7436 :  -0.474662,  -0.431693,   0.000000 |   1.056577,   0.000000, -137.714233 | 2.003905e+00, 2.994505e-01, 2.689559e+00 : 100,  3 :  58
7437 :  -0.654716,  -0.577986,   0.000000 |   1.438179,   0.000000, -138.561793 | 2.167113e+00, 4.603789e-01, 2.300326e+01 : 100,  1 :  56
7438 :  -0.924529,  -0.315384,   0.000000 |   1.608626,   0.000000, -161.163972 | 2.064140e+00, 9.891882e-01, 4.010789e-01 : 100,  1 :  56
7439 :   0.709114,  -0.209494,   0.000000 |   1.217635,   0.000000,  -16.458750 | 2.039138e+00, 2.482115e-01, 1.206004e+01 : 100,  2 :  57
7440 :   0.442587,  -0.978673,   0.000000 |   1.768780,   0.000000,  -65.666008 | 2.079477e+00, 8.254560e-01, 5.899043e+00 : 100,  1 :  56
7441 :   0.016785,  -0.698610,   0.000000 |   1.150775,   0.000000,  -88.623658 | 2.013436e+00, 5.600506e-01, 3.022364e+00 : 100,  2 :  57
7442 :  -0.308360,  -0.094336,   0.000000 |   0.531025,   0.000000, -162.989684 | 3.015768e-09, -0.000000e+00, 9.512414e-08 : 000, -1 :  84
7443 :   0.320338,  -0.588856,   0.000000 |   1.103905,   0.000000,  -61.453778 | 2.013931e+00, 4.252158e-01, 3.924971e+00 : 100,  2 :  57
7444 :   0.276891,   0.579823,   0.000000 |   1.058116,   0.000000,   64.473449 | 2.018580e+00, 3.733804e-01, 6.944642e+00 : 100,  2 :  57
7445 :  -0.237769,  -0.484188,   0.000000 |   0.888292,   0.000000, -116.154180 | 1.992285e-09, 1.862645e-09, 1.585295e-07 : 000, -1 :  84
7446 :  -0.355191,  -0.734702,   0.000000 |   1.343849,   0.000000, -115.801424 | 2.064200e+00, 8.345640e-01, 7.366475e+00 : 100,  1 :  56
7447 :   0.856954,   0.901083,   0.000000 |   2.047764,   0.000000,   46.437894 | 2.267664e+00, 1.651108e-01, 2.512716e+01 : 100,  1 :  56
7448 :   0.842838,  -0.071609,   0.000000 |   1.392952,   0.000000,   -4.856300 | 2.014390e+00, 4.889898e-01, 4.575948e-01 : 100,  2 :  57
7449 :   0.012878,  -0.559600,   0.000000 |   0.921771,   0.000000,  -88.681711 | 4.096514e-09, 9.313226e-10, 1.035617e-07 : 000, -1 :  84
7450 :   0.977772,  -0.284369,   0.000000 |   1.676871,   0.000000,  -16.216216 | 2.068028e+00, 9.376677e-01, 2.218733e+00 : 110,  1 :  56
7451 :   0.888094,  -0.240109,   0.000000 |   1.514987,   0.000000,  -15.129052 | 2.062791e+00, 9.161169e-01, 3.305897e+00 : 110,  1 :  56
7452 :  -0.132512,  -0.472127,   0.000000 |   0.807522,   0.000000, -105.677833 | 2.798507e-09, -0.000000e+00, 2.436570e-08 : 000, -1 :  84
7453 :   0.673980,  -0.911180,   0.000000 |   1.866366,   0.000000,  -53.510471 | 2.162607e+00, 4.446202e-01, 1.805458e+01 : 100,  1 :  56
7454 :  -0.270212,   0.701819,   0.000000 |   1.238430,   0.000000,  111.057545 | 2.036993e+00, 2.574501e-01, 1.141365e+01 : 101,  2 :  57
7455 :  -0.099748,   0.514359,   0.000000 |   0.862806,   0.000000,  100.974908 | 2.117504e-09, -0.000000e+00, 7.453360e-08 : 001, -1 :  84
7456 :   0.252100,   0.267702,   0.000000 |   0.605548,   0.000000,   46.719194 | 4.930068e-09, 4.656613e-10, 4.624603e-08 : 000, -1 :  84
7457 :  -0.144741,   0.859386,   0.000000 |   1.435134,   0.000000,   99.560262 | 2.073685e+00, 7.874189e-01, 8.874687e+00 : 111,  1 :  56
7458 :   0.885792,   0.751904,   0.000000 |   1.913353,   0.000000,   40.326232 | 2.208713e+00, 3.150404e-01, 2.189128e+01 : 100,  1 :  56
7459 :  -0.784753,  -0.097906,   0.000000 |   1.302318,   0.000000, -172.888506 | 2.014857e+00, 4.389968e-01, 2.712789e+00 : 100,  2 :  57
7460 :  -0.291158,  -0.006761,   0.000000 |   0.479597,   0.000000, -178.669685 | 3.991996e-09, 4.656613e-10, 9.976122e-08 : 001, -1 :  84
7461 :   0.976374,  -0.843856,   0.000000 |   2.125150,   0.000000,  -40.836046 | 2.238661e+00, 2.224030e-01, 2.240110e+01 : 100,  1 :  56
7462 :  -0.299382,  -0.058343,   0.000000 |   0.502285,   0.000000, -168.972521 | 2.385490e-09, -0.000000e+00, 1.153647e-07 : 000, -1 :  84
7463 :   0.283194,  -0.069890,   0.000000 |   0.480345,   0.000000,  -13.863045 | 4.524852e-09, -0.000000e+00, 1.077088e-07 : 000, -1 :  84
7464 :   0.772516,   0.908125,   0.000000 |   1.963358,   0.000000,   49.613118 | 2.214913e+00, 2.952880e-01, 2.195193e+01 : 100,  1 :  56
7465 :  -0.752611,  -0.115024,   0.000000 |   1.253761,   0.000000, -171.310541 | 2.016390e+00, 4.071624e-01, 4.290753e+00 : 100,  2 :  57
7466 :  -0.601786,  -0.765577,   0.000000 |   1.603588,   0.000000, -128.169303 | 2.154330e+00, 4.801097e-01, 1.973435e+01 : 100,  1 :  56
7467 :   0.350473,   0.808427,   0.000000 |   1.451005,   0.000000,   66.562065 | 2.063129e+00, 8.785037e-01, 5.002986e+00 : 100,  1 :  56
7468 :  -0.812726,  -0.148380,   0.000000 |   1.360486,   0.000000, -169.653418 | 2.021260e+00, 3.604733e-01, 5.947877e+00 : 100,  2 :  57
7469 :  -0.475758,  -0.175314,   0.000000 |   0.834959,   0.000000, -159.771517 | 3.600226e-09, -0.000000e+00, 2.799235e-07 : 000, -1 :  84
7470 :  -0.754134,   0.695964,   0.000000 |   1.689903,   0.000000,  137.297175 | 2.210720e+00, 3.331213e-01, 2.426788e+01 : 101,  1 :  56
7471 :  -0.497303,  -0.241343,   0.000000 |   0.910283,   0.000000, -154.112543 | 4.111225e-09, 1.396984e-09, 1.299023e-07 : 000, -1 :  84
7472 :   0.668338,  -0.549052,   0.000000 |   1.424361,   0.000000,  -39.403700 | 2.147328e+00, 5.105917e-01, 2.096875e+01 : 100,  1 :  56
7473 :  -0.460787,  -0.126902,   0.000000 |   0.787057,   0.000000, -164.602333 | 1.251363e-09, -0.000000e+00, 2.698216e-07 : 000, -1 :  84
7474 :  -0.996589,   0.584301,   0.000000 |   1.902416,   0.000000,  149.616858 | 2.115382e+00, 6.218427e-01, 1.194819e+01 : 101,  1 :  56
7475 :  -0.917319,  -0.302392,   0.000000 |   1.590565,   0.000000, -161.755294 | 2.063391e+00, 9.949292e-01, 1.902434e-01 : 110,  1 :  56
7476 :   0.038717,   0.148641,   0.000000 |   0.252944,   0.000000,   75.400294 | 4.830426e-09, -0.000000e+00, 1.185994e-08 : 000, -1 :  84
7477 :   0.506395,   0.168147,   0.000000 |   0.878681,   0.000000,   18.368628 | 1.255982e-09, 1.862645e-09, 1.441002e-07 : 000, -1 :  84
7478 :  -0.252540,  -0.685438,   0.000000 |   1.202926,   0.000000, -110.225598 | 2.039476e+00, 2.474841e-01, 1.224559e+01 : 100,  2 :  57
7479 :  -0.516588,  -0.204133,   0.000000 |   0.914705,   0.000000, -158.438251 | 4.194337e-09, 1.862645e-09, 2.586868e-07 : 000, -1 :  84
7480 :   0.740928,  -0.895118,   0.000000 |   1.913511,   0.000000,  -50.383972 | 2.200371e+00, 3.361674e-01, 2.118108e+01 : 100,  1 :  56
7481 :  -0.897840,  -0.916025,   0.000000 |   2.112235,   0.000000, -134.425600 | 2.289277e+00, 1.112524e-01, 2.599065e+01 : 100,  1 :  56
7482 :  -0.929385,   0.298822,   0.000000 |   1.607639,   0.000000,  162.176015 | 2.064150e+00, 9.835407e-01, 6.109638e-01 : 111,  1 :  56
7483 :  -0.683984,  -0.088596,   0.000000 |   1.135767,   0.000000, -172.619586 | 2.013219e+00, 4.415291e-01, 2.981709e+00 : 100,  2 :  57
7484 :   0.723711,  -0.025151,   0.000000 |   1.192498,   0.000000,   -1.990400 | 2.013324e+00, 5.495933e-01, 2.408306e+00 : 100,  2 :  57
7485 :   0.820631,   0.102024,   0.000000 |   1.361785,   0.000000,    7.086854 | 2.015508e+00, 4.367903e-01, 2.688148e+00 : 100,  2 :  57
7486 :   0.655688,  -0.339053,   0.000000 |   1.215576,   0.000000,  -27.343265 | 2.017334e+00, 3.924711e-01, 5.127927e+00 : 100,  2 :  57
7487 :  -0.047273,   0.898156,   0.000000 |   1.481095,   0.000000,   93.012879 | 2.015682e+00, 5.354512e-01, 1.385826e+00 : 101,  2 :  57
7488 :   0.703754,  -0.438942,   0.000000 |   1.365858,   0.000000,  -31.952410 | 2.090756e+00, 6.934641e-01, 1.351746e+01 : 100,  1 :  56
7489 :   0.704145,   0.557128,   0.000000 |   1.478614,   0.000000,   38.351455 | 2.143833e+00, 5.163810e-01, 1.991651e+01 : 100,  1 :  56
7490 :   0.224918,   0.826441,   0.000000 |   1.410451,   0.000000,   74.775555 | 2.058330e+00, 9.241561e-01, 3.210504e+00 : 110,  1 :  56
7491 :  -0.555143,   0.789628,   0.000000 |   1.589526,   0.000000,  125.108901 | 2.127512e+00, 5.620992e-01, 1.667395e+01 : 101,  1 :  56
7492 :   0.802406,  -0.659291,   0.000000 |   1.710190,   0.000000,  -39.407970 | 2.176936e+00, 4.122671e-01, 2.097302e+01 : 100,  1 :  56
7493 :  -0.551271,   0.258609,   0.000000 |   1.002738,   0.000000,  154.868043 | 2.002377e+00, 6.623136e-02, 3.362116e+00 : 101,  4 :  59
7494 :  -0.135806,  -0.012714,   0.000000 |   0.224618,   0.000000, -174.651521 | 7.147055e-09, 4.656613e-10, 3.411517e-08 : 000, -1 :  84
7495 :  -0.184238,   0.857484,   0.000000 |   1.444297,   0.000000,  102.126135 | 2.065952e+00, 8.476146e-01, 6.308814e+00 : 111,  1 :  56
7496 :  -0.442603,  -0.131971,   0.000000 |   0.760570,   0.000000, -163.396973 | 1.742686e-09, 4.656613e-10, 7.923913e-08 : 000, -1 :  84
7497 :   0.884565,  -0.013628,   0.000000 |   1.456839,   0.000000,   -0.882647 | 2.017718e+00, 5.884253e-01, 3.516058e+00 : 100,  2 :  57
7498 :   0.722270,   0.441786,   0.000000 |   1.394262,   0.000000,   31.452620 | 2.089963e+00, 6.984553e-01, 1.301767e+01 : 100,  1 :  56
7499 :  -0.271184,  -0.454859,   0.000000 |   0.872065,   0.000000, -120.803147 | 3.454531e-09, 1.396984e-09, 1.073366e-07 : 000, -1 :  84
7500 :  -0.690439,   0.051613,   0.000000 |   1.140160,   0.000000,  175.724892 | 2.011745e+00, 5.024342e-01, 1.235972e-01 : 101,  2 :  57
7501 :   0.831457,  -0.138005,   0.000000 |   1.387942,   0.000000,   -9.424053 | 2.019574e+00, 3.796733e-01, 5.025347e+00 : 100,  2 :  57
7502 :   0.084985,  -0.190584,   0.000000 |   0.343636,   0.000000,  -65.967039 | 2.676547e-09, -0.000000e+00, 1.166638e-07 : 000, -1 :  84
7503 :   0.530373,   0.276361,   0.000000 |   0.984854,   0.000000,   27.522660 | 3.899836e-09, 1.396984e-09, 1.919633e-07 : 000, -1 :  84
7504 :  -0.035453,  -0.693229,   0.000000 |   1.143075,   0.000000,  -92.927636 | 2.012145e+00, 5.290430e-01, 1.471069e+00 : 100,  2 :  57
7505 :  -0.670697,  -0.405177,   0.000000 |   1.290374,   0.000000, -148.863294 | 2.081740e+00, 7.275835e-01, 1.270176e+01 : 100,  1 :  56
7506 :   0.824482,   0.120657,   0.000000 |   1.372186,   0.000000,    8.325749 | 2.017320e+00, 4.069921e-01, 3.927043e+00 : 100,  2 :  57
7507 :  -0.332260,  -0.861151,   0.000000 |   1.520004,   0.000000, -111.098212 | 2.062147e+00, 9.321860e-01, 2.663263e+00 : 100,  1 :  56
7508 :  -0.870454,   0.582870,   0.000000 |   1.725117,   0.000000,  146.193099 | 2.128000e+00, 5.609219e-01, 1.537195e+01 : 101,  1 :  56
7509 :   0.243563,   0.603067,   0.000000 |   1.071043,   0.000000,   68.007541 | 2.028709e+00, 3.072149e-01, 1.047873e+01 : 100,  2 :  57
7510 :  -0.776574,   0.781849,   0.000000 |   1.814693,   0.000000,  134.806090 | 2.253633e+00, 2.260628e-01, 2.637114e+01 : 101,  1 :  56
7511 :  -0.517852,   0.442842,   0.000000 |   1.122071,   0.000000,  139.464555 | 2.003064e+00, 2.683453e-01, 9.392361e-01 : 101,  3 :  58
7512 :   0.625002,   0.265680,   0.000000 |   1.118360,   0.000000,   23.029703 | 2.026511e+00, 3.184333e-01, 9.441489e+00 : 100,  2 :  57
7513 :   0.245726,   0.009891,   0.000000 |   0.404979,   0.000000,    2.305127 | 4.617840e-09, 9.313226e-10, 5.874440e-08 : 000, -1 :  84
7514 :  -0.825777,   0.415025,   0.000000 |   1.521943,   0.000000,  153.316452 | 2.075765e+00, 7.903503e-01, 8.248599e+00 : 101,  1 :  56
7515 :  -0.623287,   0.154706,   0.000000 |   1.057550,   0.000000,  166.060347 | 2.025370e+00, 3.265138e-01, 9.540948e+00 : 101,  2 :  57
7516 :  -0.628662,   0.954715,   0.000000 |   1.882425,   0.000000,  123.364147 | 2.136022e+00, 5.343650e-01, 1.492920e+01 : 101,  1 :  56
7517 :  -0.831219,   0.514511,   0.000000 |   1.609827,   0.000000,  148.243159 | 2.105742e+00, 6.438427e-01, 1.332189e+01 : 101,  1 :  56
7518 :   0.753241,  -0.427234,   0.000000 |   1.426042,   0.000000,  -29.561673 | 2.082564e+00, 7.357692e-01, 1.112672e+01 : 100,  1 :  56
7519 :  -0.640588,  -0.794471,   0.000000 |   1.680614,   0.000000, -128.879498 | 2.168613e+00, 4.363533e-01, 2.044455e+01 : 100,  1 :  56
7520 :   0.650670,  -0.884423,   0.000000 |   1.808122,   0.000000,  -53.658087 | 2.156152e+00, 4.662064e-01, 1.790696e+01 : 100,  1 :  56
7521 :  -0.262315,   0.138285,   0.000000 |   0.488319,   0.000000,  152.203126 | 3.910350e-09, 1.396984e-09, 6.291535e-08 : 001, -1 :  84
7522 :  -0.829977,   0.328034,   0.000000 |   1.469652,   0.000000,  158.434441 | 2.060670e+00, 9.229373e-01, 3.130611e+00 : 101,  1 :  56
7523 :   0.961049,   0.674713,   0.000000 |   1.933701,   0.000000,   35.071117 | 2.154771e+00, 4.684549e-01, 1.663617e+01 : 100,  1 :  56
7524 :  -0.256474,  -0.392699,   0.000000 |   0.772383,   0.000000, -123.148776 | 2.375773e-09, 1.396984e-09, 2.306029e-07 : 000, -1 :  84
7525 :   0.674830,  -0.154192,   0.000000 |   1.139924,   0.000000,  -12.870577 | 2.024050e+00, 3.337916e-01, 8.471871e+00 : 100,  2 :  57
7526 :   0.091514,   0.739023,   0.000000 |   1.226288,   0.000000,   82.940953 | 2.013937e+00, 4.436680e-01, 2.660341e+00 : 100,  2 :  57
7527 :  -0.471777,   0.848571,   0.000000 |   1.598839,   0.000000,  119.072565 | 2.090094e+00, 7.166206e-01, 1.063762e+01 : 101,  1 :  56
7528 :  -0.059432,  -0.915299,   0.000000 |   1.510453,   0.000000,  -93.715095 | 2.015662e+00, 5.178356e-01, 6.836101e-01 : 100,  2 :  57
7529 :  -0.819484,  -0.958992,   0.000000 |   2.077283,   0.000000, -130.514757 | 2.229052e+00, 2.502699e-01, 2.207981e+01 : 100,  1 :  56
7530 :  -0.658730,   0.188998,   0.000000 |   1.128536,   0.000000,  163.991127 | 2.034475e+00, 2.752193e-01, 1.161017e+01 : 101,  2 :  57
7531 :  -0.108700,   0.153918,   0.000000 |   0.310302,   0.000000,  125.230666 | 3.450663e-09, 9.313226e-10, 3.571540e-08 : 001, -1 :  84
7532 :   0.929307,   0.275707,   0.000000 |   1.596275,   0.000000,   16.524577 | 2.064462e+00, 9.489069e-01, 1.910372e+00 : 110,  1 :  56
7533 :   0.788414,   0.938236,   0.000000 |   2.018127,   0.000000,   49.959146 | 2.216566e+00, 2.864969e-01, 2.160590e+01 : 100,  1 :  56
7534 :   0.973688,  -0.398856,   0.000000 |   1.732744,   0.000000,  -22.275689 | 2.072784e+00, 8.885600e-01, 3.840740e+00 : 100,  1 :  56
7535 :  -0.592625,  -0.033335,   0.000000 |   0.977454,   0.000000, -176.780512 | 2.159483e-09, 2.328306e-09, 4.506600e-08 : 001, -1 :  84
7536 :  -0.444177,  -0.866284,   0.000000 |   1.603154,   0.000000, -117.145935 | 2.081639e+00, 7.668769e-01, 8.710986e+00 : 100,  1 :  56
7537 :   0.596039,  -0.191638,   0.000000 |   1.031019,   0.000000,  -17.823602 | 2.001835e+00, 1.739590e-01, 2.723545e+00 : 100,  4 :  59
7538 :  -0.276788,   0.528405,   0.000000 |   0.982308,   0.000000,  117.646349 | 2.260718e-09, 1.396984e-09, 2.280797e-08 : 001, -1 :  84
7539 :   0.378250,  -0.704586,   0.000000 |   1.316908,   0.000000,  -61.771333 | 2.070904e+00, 7.849185e-01, 9.793718e+00 : 100,  1 :  56
7540 :   0.961486,   0.864931,   0.000000 |   2.129714,   0.000000,   41.973814 | 2.255020e+00, 1.833471e-01, 2.353887e+01 : 100,  1 :  56
7541 :  -0.129782,   0.099869,   0.000000 |   0.269672,   0.000000,  142.421178 | 6.537826e-09, 4.656613e-10, 4.627987e-08 : 001, -1 :  84
7542 :  -0.171435,  -0.881671,   0.000000 |   1.479093,   0.000000, -101.003490 | 2.070869e+00, 8.163173e-01, 7.431458e+00 : 110,  1 :  56
7543 :  -0.156606,  -0.659947,   0.000000 |   1.116955,   0.000000, -103.349443 | 2.024965e+00, 3.280081e-01, 8.950738e+00 : 100,  2 :  57
7544 :   0.094671,   0.830706,   0.000000 |   1.376829,   0.000000,   83.498358 | 2.015097e+00, 4.499977e-01, 2.102936e+00 : 100,  2 :  57
7545 :   0.027559,  -0.565055,   0.000000 |   0.931615,   0.000000,  -87.207799 | 2.727720e-09, 4.656613e-10, 9.627053e-08 : 000, -1 :  84
7546 :   0.231956,   0.952913,   0.000000 |   1.615041,   0.000000,   76.319245 | 2.069693e+00, 8.714776e-01, 4.754194e+00 : 110,  1 :  56
7547 :   0.747918,  -0.074656,   0.000000 |   1.237762,   0.000000,   -5.700266 | 2.013064e+00, 4.721743e-01, 1.301561e+00 : 100,  2 :  57
7548 :  -0.402520,   0.324893,   0.000000 |   0.851835,   0.000000,  141.091389 | 3.857445e-09, 9.313226e-10, 1.328848e-07 : 001, -1 :  84
7549 :  -0.010084,  -0.519420,   0.000000 |   0.855522,   0.000000,  -91.112228 | 2.523080e-09, 4.656613e-10, 3.146611e-07 : 000, -1 :  84
7550 :   0.153307,   0.763447,   0.000000 |   1.282312,   0.000000,   78.645480 | 2.022547e+00, 3.463064e-01, 6.955815e+00 : 100,  2 :  57
7551 :   0.485541,  -0.190475,   0.000000 |   0.858894,   0.000000,  -21.419785 | 3.334988e-09, 9.313226e-10, 3.112079e-07 : 000, -1 :  84
7552 :   0.067458,  -0.773822,   0.000000 |   1.279131,   0.000000,  -85.017842 | 2.013239e+00, 4.871088e-01, 5.834522e-01 : 100,  2 :  57
7553 :   0.914864,   0.694654,   0.000000 |   1.891639,   0.000000,   37.209325 | 2.172017e+00, 4.154509e-01, 1.877438e+01 : 100,  1 :  56
7554 :  -0.960532,  -0.979646,   0.000000 |   2.259321,   0.000000, -134.435551 | 2.309586e+00, 4.902542e-02, 2.600060e+01 : 100,  1 :  56
7555 :   0.816559,   0.867896,   0.000000 |   1.962349,   0.000000,   46.745675 | 2.252226e+00, 2.091102e-01, 2.481938e+01 : 100,  1 :  56
7556 :   0.694314,  -0.474564,   0.000000 |   1.384927,   0.000000,  -34.352653 | 2.106174e+00, 6.353105e-01, 1.591770e+01 : 100,  1 :  56
7557 :   0.301162,   0.947037,   0.000000 |   1.636500,   0.000000,   72.359098 | 2.065363e+00, 9.782246e-01, 7.940472e-01 : 110,  1 :  56
7558 :   0.888437,  -0.601961,   0.000000 |   1.767240,   0.000000,  -34.119633 | 2.133605e+00, 5.412770e-01, 1.568468e+01 : 100,  1 :  56
7559 :  -0.839187,   0.151418,   0.000000 |   1.404256,   0.000000,  169.771931 | 2.021649e+00, 3.588440e-01, 5.829364e+00 : 101,  2 :  57
7560 :   0.271638,  -0.271938,   0.000000 |   0.632960,   0.000000,  -45.031690 | 4.105729e-09, -0.000000e+00, 5.626821e-08 : 000, -1 :  84
7561 :  -0.530773,   0.015679,   0.000000 |   0.874437,   0.000000,  178.307927 | 4.101096e-09, 2.328306e-09, 1.542830e-07 : 001, -1 :  84
7562 :   0.948575,  -0.885270,   0.000000 |   2.136666,   0.000000,  -43.022910 | 2.271168e+00, 1.463825e-01, 2.458796e+01 : 100,  1 :  56
7563 :  -0.734341,  -0.179696,   0.000000 |   1.244962,   0.000000, -166.249725 | 2.029197e+00, 2.997870e-01, 9.351570e+00 : 100,  2 :  57
7564 :   0.583621,   0.131324,   0.000000 |   0.985115,   0.000000,   12.681258 | 2.793195e-09, 1.862645e-09, 7.514893e-08 : 000, -1 :  84
7565 :   0.416598,  -0.042294,   0.000000 |   0.689563,   0.000000,   -5.796934 | 2.495881e-09, 4.656613e-10, 5.051274e-07 : 000, -1 :  84
7566 :   0.792833,   0.147320,   0.000000 |   1.327954,   0.000000,   10.526375 | 2.021185e+00, 3.597084e-01, 6.127669e+00 : 100,  2 :  57
7567 :  -0.751061,   0.952615,   0.000000 |   1.997656,   0.000000,  128.252962 | 2.193202e+00, 3.497159e-01, 1.981801e+01 : 101,  1 :  56
7568 :   0.166775,   0.976706,   0.000000 |   1.631679,   0.000000,   80.310044 | 2.083233e+00, 7.618099e-01, 8.744993e+00 : 110,  1 :  56
7569 :   0.048406,  -0.644489,   0.000000 |   1.064309,   0.000000,  -85.704698 | 2.010725e+00, 1.202328e-01, 7.021613e+00 : 100,  3 :  58
7570 :  -0.232038,  -0.678785,   0.000000 |   1.181303,   0.000000, -108.872683 | 2.044940e+00, 2.251163e-01, 1.359851e+01 : 100,  2 :  57
7571 :  -0.983057,  -0.772149,   0.000000 |   2.058526,   0.000000, -141.851896 | 2.197866e+00, 3.333053e-01, 1.971315e+01 : 100,  1 :  56
7572 :   0.446648,  -0.522756,   0.000000 |   1.132281,   0.000000,  -49.489092 | 2.022675e+00, 6.567293e-01, 8.039716e+00 : 100,  2 :  57
7573 :  -0.217153,  -0.562150,   0.000000 |   0.992395,   0.000000, -111.121059 | 2.871382e-09, 2.328306e-09, 2.442388e-07 : 000, -1 :  84
7574 :   0.818736,  -0.724825,   0.000000 |   1.800701,   0.000000,  -41.518373 | 2.210184e+00, 3.221308e-01, 2.308342e+01 : 100,  1 :  56
7575 :  -0.942616,   0.485547,   0.000000 |   1.746094,   0.000000,  152.746716 | 2.089397e+00, 7.429869e-01, 8.818335e+00 : 101,  1 :  56
7576 :   0.249544,  -0.280118,   0.000000 |   0.617783,   0.000000,  -48.303640 | 1.780201e-09, -0.000000e+00, 2.446872e-07 : 000, -1 :  84
7577 :   0.531644,   0.075934,   0.000000 |   0.884375,   0.000000,    8.128541 | 1.944893e-09, -0.000000e+00, 8.459263e-08 : 000, -1 :  84
7578 :   0.687173,   0.301157,   0.000000 |   1.235511,   0.000000,   23.665699 | 2.027136e+00, 3.128150e-01, 8.805494e+00 : 100,  2 :  57
7579 :   0.607366,   0.158866,   0.000000 |   1.033835,   0.000000,   14.658180 | 2.004227e+00, 3.063826e-01, 3.134459e+00 : 100,  3 :  58
7580 :   0.689245,  -0.557195,   0.000000 |   1.459521,   0.000000,  -38.952565 | 2.147056e+00, 5.088294e-01, 2.051762e+01 : 100,  1 :  56
7581 :  -0.944481,  -0.345473,   0.000000 |   1.656117,   0.000000, -159.908421 | 2.066659e+00, 9.540302e-01, 1.656631e+00 : 100,  1 :  56
7582 :   0.486746,  -0.940839,   0.000000 |   1.744400,   0.000000,  -62.645056 | 2.089769e+00, 7.403000e-01, 8.919995e+00 : 100,  1 :  56
7583 :  -0.803652,   0.583191,   0.000000 |   1.635166,   0.000000,  144.032476 | 2.138093e+00, 5.270388e-01, 1.753258e+01 : 101,  1 :  56
7584 :   0.428726,  -0.312214,   0.000000 |   0.873379,   0.000000,  -36.063441 | 1.471921e-09, 4.656613e-10, 9.551476e-08 : 000, -1 :  84
